SITE,REGION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
ADAK,C ALEU,779,621,595,715,764,,,528,,,,NP
ADAK/ARGONNE POINT,C ALEU,10,,,84,0,,,0,,0,,NP
ADAK/CAPE KAGIGIKAK,C ALEU,,,,,,,,36,,,,NP
ADAK/CRONE ISLAND,C ALEU,,59.5,,15,13,,,21,,,,NP
AGLIGADAK,C ALEU,15,13.5,11,38,12,,,45,,36,,NP
AMATIGNAK/KNOB POINT,C ALEU,0,3,,0,,,,0,,,0,NP
AMATIGNAK/NITROF POINT,C ALEU,,49,,46,,,,29,,,14,NP
AMATIGNAK/WEST,C ALEU,,,,,,,,9,,,0,NP
AMCHITKA/BIRD,C ALEU,0,,,,,,,,,8,,NP
AMCHITKA/CAPE IVAKIN,C ALEU,0,0,,,,,,,,0,,NP
AMCHITKA/CHITKA POINT,C ALEU,0,,,,,,,,,,,NP
AMCHITKA/COLUMN ROCK,C ALEU,,71,69,,,41,,37,,64,,NP
AMCHITKA/EAST CAPE,C ALEU,,,71,,,70,,146,,112,,NP
AMCHITKA/OMEGA POINT,C ALEU,0,,,,,,,,,0,,NP
AMCHITKA/ST. MAKARIUS,C ALEU,0,0,,,,,,,,0,,NP
AMLIA/CAPE MISTY,C ALEU,72,,,0,24,,,32,,,,NP
AMLIA/EAST CAPE,C ALEU,55,117,,63,26,,,19,,420,,NP
AMLIA/SVIECH. HARBOR,C ALEU,113,100,192,120,191,,,147,,162,,NP
AMUKTA + ROCKS,C ALEU,56,35,,72,54,,,,36,38,,NP
ANAGAKSIK,C ALEU,14,20,,30,21,,,29,,2,,NP
ATKA/CAPE KOROVIN,C ALEU,30,39,,6,0,,,7,,0,,NP
ATKA/NORTH CAPE,C ALEU,140,32,,206,94,,,113,,152,,NP
AYUGADAK,C ALEU,,152,112,,,122,112,102,,103,,NP
BOBROF,C ALEU,,,,19,20,,,0,,0,,NP
CARLISLE,C ALEU,,27,,10,42,,,20,,,,NP
CHAGULAK,C ALEU,,59,,54,49,,,,66,,,NP
CHUGINADAK,C ALEU,,53,,173,68,,,112,,74,,NP
CHUGUL,C ALEU,73,12,,33,22,,,29,,30,,NP
FENIMORE,C ALEU,9,4,,29,96,,,58,,117,,NP
GARELOI,C ALEU,,0,,0,,,,0,,0,,NP
GRAMP ROCK,C ALEU,,593,442,504,,,,448,,,371,NP
GREAT SITKIN,C ALEU,0,0,,0,76,,,0,,0,,NP
HAWADAX (RAT),C ALEU,,0,,,,,14,,,0,,NP
HERBERT,C ALEU,,105,,67,92,,,114,,130,,NP
IGITKIN/SW POINT,C ALEU,0,0,,0,0,,,0,,0,,NP
IKIGINAK,C ALEU,16,0,,0,4,,,0,,9,,NP
ILAK,C ALEU,,18,,32,,,,8,,,24,NP
KAGALASKA,C ALEU,3,42,,52,0,52,,15,,1,,NP
KAGALASKA/RAGGED POINT,C ALEU,,,,,,,,40,,,,NP
KAGAMIL,C ALEU,,0,,51,41,,,13,,,,NP
KANAGA/CAPE CHUNU,C ALEU,82,69,18,21,0,,,0,,,,NP
KANAGA/CAPE MIGA,C ALEU,0,0,,27,2,,,0,,0,,NP
KANAGA/N CAPE,C ALEU,2,14,,0,0,,,0,,0,,NP
KANAGA/SHIP ROCK,C ALEU,331,322,420,372,358,,,350,,270,,NP
KASATOCHI/NORTH POINT,C ALEU,613,550,609,732,716,,,587,,602,,NP
KAVALGA,C ALEU,,63,,4,,,,9,,,5,NP
KISKA/CAPE ST STEPHEN,C ALEU,211,229,204,,,109,,182,82,156,75,NP
KISKA/GERTRUDE-BUKHTI,C ALEU,,0,,,,,11,6,,10,,NP
KISKA/LIEF COVE,C ALEU,164,162,152,,,,,128,,150,,NP
KISKA/PILLAR ROCK,C ALEU,,0,,,,2,0,,,,,NP
KISKA/SIRIUS POINT,C ALEU,,0,,,,,0,0,,,,NP
KISKA/SOBAKA-VEGA,C ALEU,,52,,,,,,30,,24,,NP
KISKA/SOUTH HEAD,C ALEU,,0,,,,,,,,0,,NP
KISKA/WITCHCRAFT POINT,C ALEU,,7,,,,,,,,,,NP
KISKA/WOLF POINT,C ALEU,,0,,,,,11,4,,,,NP
KONIUJI/NORTH POINT,C ALEU,0,0,,0,0,,,0,,0,,NP
LITTLE SITKIN,C ALEU,,0,,,,,0,,,0,,NP
LITTLE TANAGA STRAIT,C ALEU,15,36,,26,60,17,,5,,91,,NP
OGLIUGA,C ALEU,,0,,2,,,,22,,,0,NP
OGLODAK,C ALEU,58,99,86,86,44,,,65,,45,,NP
SAGIGIK,C ALEU,10,14,,40,14,,,52,,26,,NP
SALT,C ALEU,0,4,,7,1,,,14,,0,,NP
SEA LION ROCK (KISKA),C ALEU,,0,,,,,,,,0,,NP
SEGUAM/SADDLERIDGE,C ALEU,668,835,856,756,944,,,694,,928,,NP
