"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6025,"C GULF","Other","East",2000,-0.257873359613634,"F",1,11,3,4,11,7,9,9,9,9,10,10,10,9,9,10,9,10,9
6027,"C GULF","Other","East",2000,1.19895171183226,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6028,"C GULF","Other","East",2000,0.907586697543077,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11
6032,"C GULF","Other","East",2000,0.616221683253899,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6033,"C GULF","Other","East",2000,0.616221683253899,"F",1,11,11,11,11,7,11,11,10,9,9,10,10,9,9,10,9,11,10
6034,"C GULF","Other","East",2000,-0.889164223906852,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6037,"C GULF","Other","East",2000,0.276295833249859,"F",1,11,11,11,6,7,9,9,10,9,10,10,10,10,10,10,9,10,11
6040,"C GULF","Other","East",2000,-0.6949208810474,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6042,"C GULF","Other","East",2000,0.179174161820132,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6047,"C GULF","Other","East",2000,1.10183004040253,"F",1,2,3,4,11,8,9,9,9,11,11,11,11,11,11,11,11,11,11
6048,"C GULF","Other","East",2000,0.373417504679584,"F",1,11,3,11,11,7,11,11,9,11,11,11,11,11,11,11,11,11,11
6050,"C GULF","Other","East",2000,1.5388775618363,"F",1,11,11,11,11,7,11,11,11,10,11,11,11,11,11,11,11,11,11
6053,"C GULF","Other","East",2000,0.470539176109311,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6054,"C GULF","Other","East",2000,1.29607338326198,"F",1,2,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6055,"C GULF","Other","East",2000,-0.646360045332538,"F",1,11,11,4,5,8,11,10,10,10,10,11,9,10,9,11,11,11,11
6057,"C GULF","Other","East",2000,0.519100011824174,"F",1,2,3,4,11,7,11,11,10,10,10,10,9,9,10,9,9,10,9
6058,"C GULF","Other","East",2000,0.664782518968762,"F",1,2,3,4,5,8,9,10,10,10,9,10,10,11,11,11,11,11,11
6060,"C GULF","Other","East",2000,0.810465026113351,"F",1,11,3,4,5,7,10,10,9,10,10,10,10,10,10,10,10,11,11
6061,"C GULF","Other","East",2000,0.713343354683626,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6062,"C GULF","Other","East",2000,-1.32621174534062,"F",1,11,3,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11
6064,"C GULF","Other","East",2000,-1.71469843105952,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6067,"C GULF","Other","East",2000,-0.306434195328497,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6069,"C GULF","Other","East",2000,-0.84060338819199,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6070,"C GULF","Other","East",2000,-0.597799209617675,"F",1,11,3,4,11,11,11,11,11,10,11,9,11,11,11,11,11,11,11
6076,"C GULF","Other","East",2000,-0.986285895336578,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6077,"C GULF","Other","East",2000,-0.112190852469045,"F",1,2,3,4,11,7,9,9,10,11,10,10,9,10,10,10,11,11,9
6078,"C GULF","Other","East",2000,-0.403555866758223,"F",1,2,3,11,5,8,10,10,10,10,9,10,11,11,11,11,11,11,11
6079,"C GULF","Other","East",2000,-0.306434195328497,"F",1,11,11,11,11,7,9,11,9,9,10,10,9,9,10,10,11,11,11
6081,"C GULF","Other","East",2000,-1.13196840248117,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6086,"C GULF","Other","East",2000,-1.47189425248521,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6087,"C GULF","Other","East",2000,-0.306434195328497,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6089,"C GULF","Other","East",2000,-0.500677538187948,"F",1,2,11,4,5,11,9,9,10,11,10,11,10,10,10,10,11,10,9
