"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6026,"C GULF","Other","East",2000,-0.504467088965962,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6029,"C GULF","Other","East",2000,0.0655433978099982,"M",1,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8
6030,"C GULF","Other","East",2000,-0.504467088965962,"M",1,2,3,4,8,6,8,7,7,7,7,8,7,8,7,7,8,8,8
6031,"C GULF","Other","East",2000,-0.0104580004267962,"M",1,8,8,4,8,6,7,7,7,7,8,8,8,8,8,8,8,8,8
6035,"C GULF","Other","East",2000,0.0275426986916017,"M",1,2,3,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6036,"C GULF","Other","East",2000,0.825557380177945,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6038,"C GULF","Other","East",2000,-0.314463593373975,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6039,"C GULF","Other","East",2000,1.12956297312512,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6041,"C GULF","Other","East",2000,1.28156576959871,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6043,"C GULF","Other","East",2000,1.35756716783551,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6044,"C GULF","Other","East",2000,1.39556786695391,"M",1,2,3,4,5,6,7,7,7,7,7,7,7,7,8,8,8,8,8
6045,"C GULF","Other","East",2000,-0.732471283676346,"M",1,2,8,8,8,6,7,7,7,7,7,7,7,7,7,7,7,8,8
6046,"C GULF","Other","East",2000,0.635553884585958,"M",1,2,3,4,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8
6049,"C GULF","Other","East",2000,0.0655433978099982,"M",1,2,8,4,8,6,7,7,7,7,7,7,7,7,8,7,7,8,8
6051,"C GULF","Other","East",2000,1.16756367224352,"M",1,2,3,4,8,6,7,7,7,7,7,7,7,8,8,8,8,8,8
6052,"C GULF","Other","East",2000,-2.02449505370186,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6056,"C GULF","Other","East",2000,1.5095699643091,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6059,"C GULF","Other","East",2000,-0.238462195137181,"M",1,8,8,4,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8
6063,"C GULF","Other","East",2000,-1.53048596516269,"M",1,2,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6065,"C GULF","Other","East",2000,-0.846473381031537,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6066,"C GULF","Other","East",2000,-1.3784831686891,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6068,"C GULF","Other","East",2000,0.901558778414739,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6071,"C GULF","Other","East",2000,-1.68248876163628,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6072,"C GULF","Other","East",2000,-0.846473381031537,"M",1,2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6073,"C GULF","Other","East",2000,-0.770471982794743,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6074,"C GULF","Other","East",2000,1.16756367224352,"M",1,2,8,4,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8
6075,"C GULF","Other","East",2000,-0.732471283676346,"M",1,2,3,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8
6080,"C GULF","Other","East",2000,-0.846473381031537,"M",1,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8
6082,"C GULF","Other","East",2000,0.559552486349164,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
