"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"1","C ALEU",1978,37851.900602288,351736.965998071,10881.0609348818,143493.979350341,37851.900602288,351736.965998071,10881.0609348818,143493.979350341,0
"2","C ALEU",1979,27622.9351423705,148000.658056304,11074.515855054,85073.4551391107,27183.6884543103,148005.054509144,10511.9265539626,84018.6072370253,1
"3","C ALEU",1980,21153.7605631651,65378.4546677172,10679.006063403,54242.9894730637,21153.7605631651,65378.4546677172,10679.006063403,54242.9894730637,0
"4","C ALEU",1981,17044.0313906677,30364.6949702613,10508.6268263716,35829.0871017477,17044.0313906677,30364.6949702613,10508.6268263716,35829.0871017477,0
"5","C ALEU",1982,14362.3100508081,14947.9154739293,10035.2399433037,25515.1434962103,14362.3100508081,14947.9154739293,10035.2399433037,25515.1434962103,0
"6","C ALEU",1983,12437.3479856372,7925.75933468032,9329.70799449909,19101.414692356,12437.3479856372,7925.75933468032,9329.70799449909,19101.414692356,0
"7","C ALEU",1984,10920.5119808177,4561.05501200525,8718.59537396881,15295.9207631684,10920.5119808177,4561.05501200525,8718.59537396881,15295.9207631684,0
"8","C ALEU",1985,9591.55681809956,2812.33283482506,7843.04187789343,12496.2026083881,10975.9343714646,2772.74180397557,9818.01672447309,13712.3309275663,1
"9","C ALEU",1986,8405.31413124687,1831.68711349829,7049.95842545354,10397.3254753086,8405.31413124687,1831.68711349829,7049.95842545354,10397.3254753086,0
"10","C ALEU",1987,7295.37394310818,1269.46448612006,6279.51765805452,8850.53525126194,7295.37394310818,1269.46448612006,6279.51765805452,8850.53525126194,0
"11","C ALEU",1988,6325.89302420418,926.131224863516,5420.52806756127,7445.66582452059,6325.89302420418,926.131224863516,5420.52806756127,7445.66582452059,0
"12","C ALEU",1989,5504.15059397117,709.398950027467,4785.02737973149,6419.94469431483,5081.37488212886,686.766299009171,4434.99556116755,5902.84580624602,1
"13","C ALEU",1990,4805.46259600067,568.024095504648,4209.24130305084,5589.17353742172,4064.95302571897,516.616828142535,3718.37463191015,4687.57143062483,1
"14","C ALEU",1991,4257.09593378926,480.781005448286,3727.26907628857,4906.80883109772,4257.09593378926,480.781005448286,3727.26907628857,4906.80883109772,0
"15","C ALEU",1992,3832.27503593857,420.31592484905,3352.68634880154,4409.7491529812,3832.27503593857,420.31592484905,3352.68634880154,4409.7491529812,0
"16","C ALEU",1993,3516.87628127411,369.467907290781,3076.64673480646,4012.15458022139,3516.87628127411,369.467907290781,3076.64673480646,4012.15458022139,0
"17","C ALEU",1994,3296.62057190048,341.432574066306,2886.63906776608,3767.28454188063,3421.63565624545,289.029116615911,3226.31578503797,3772.19611426545,1
